1;Hai Crackers Sweet Corn 10gr/180;Dus
2;Hai Crackers Seaweed  10gr/180;Dus
3;Hai Crackers Cheese 10gr/180;Dus
4;Kukis Kelapa 300gr/18 ;Dus
5;Kukis Butter 300gr/18 ;Dus
6;Kukis Mochacino 300gr/18 ;Dus
7;Kukis Susu Vanila 300gr/18 ;Dus
8;Kukis White Coffee 300gr/18 ;Dus
9;Kukis Kelapa 100gr/30 ;Dus
10;Kukis Butter 100gr/30 ;Dus
11;Kukis Mochacino 100gr/30 ;Dus
12;Kukis Susu Vanila 100gr/30 ;Dus
13;Kukis White Coffee 100gr/30 ;Dus
14;Kukis Kelapa 13,9gr/120 ;Dus
15;Kukis Butter 13,9gr/120 ;Dus
16;Kukis Mochacino 13,9gr/120 ;Dus
17;Kukis Susu Vanila 13,9gr/120 ;Dus
18;Kukis White Coffee 13,9gr/120 ;Dus
19;Kukis Kelapa 70gr/60 ;Dus
20;Kukis Butter 70gr/60 ;Dus
21;Kukis Mochacino 70gr/60 ;Dus
22;Kukis Susu Vanila 70gr/60 ;Dus
23;Kukis White Coffee 70gr/60 ;Dus
24;Minis Kukis Kelapa 26gr/60 ;Dus
25;Minis Kukis Butter 26gr/60 ;Dus
26;Minis Kukis Susu Vanila 26gr/60 ;Dus
27;Kukis n Krim Strawberry 138gr/30 ;Dus
28;Kukis n Krim Strawberry 30gr/72 ;Dus
29;Majestic Popcorn Caramel 90gr/30 ;Dus
30;Majestic White Coffee 90gr/30 ;Dus
31;Majestic Mixberry 90gr/30 ;Dus
32;Malkist Susu 17gr/180 ;Dus
33;Montego Coklat 50gr/30;Dus
34;Montego Danish Butter 50gr/30;Dus
35;Montego Orange 50gr/30;Dus
36;Montego Coklat 17gr/120;Dus
37;Montego Danish Butter 17gr/120;Dus
38;Montego Orange 17gr/120;Dus
39;Montego FUN Double Chocochips 17gr/120;Dus
40;Montego Gold Choco Banana 90gr/24;Dus
41;Montego Gold Matcha 90gr/24;Dus
42;Montego Gold Double Choco 90gr/24;Dus
43;Majorico Choco Banana 43gr/60 ;Dus
44;Majorico Coklat 90gr/24;Dus
45;Majorico Vanila 90gr/24;Dus
46;Rosecream Coklat Anak Sekolah 260gr/10;Bal
47;Rosecream Lemon Anak Sekolah 260gr/10;Bal
48;Rosecream Durian Anak Sekolah 260gr/10;Bal
49;Rosecream Pineapple Anak Sekolah 260gr/10;Bal
50;Narita Rosecream Lemon 200gr/21;Dus
51;Narita Rosecream Coklat 200gr/21;Dus
52;Narita Rosecream Lemon 120gr/30;Dus
53;Narita Rosecream Coklat 120gr/30;Dus
54;Super Cream Bon Bon 210gr/21;Dus
55;Super Cream Pineapple 210gr/21;Dus
56;Super Cream Strawberry 210gr/21;Dus
57;Super Cream Orange 210gr/21;Dus
58;Delicious Durian 110gr/30;Dus
59;Delicious Kelapa 110gr/30;Dus
60;Unigold Marie Kelapa 30gr/60;Dus
61;Creamy Pineapple 200gr/18;Dus
62;Creamy Cocopandan 200gr/18;Dus
63;Shortbread Delight 250gr/18;Dus
64;Orange Delight 250gr/18;Dus
65;Choco Delight 250gr/18;Dus
66;Narita Marie Susu 150gr/24;Dus
67;Narita Marie Susu 150gr Roll/24;Dus
68;Marieta 100gr/30 ;Dus
69;Marie Susu Madu 180gr/24;Dus
70;Marie Susu Madu 100gr/36;Dus
71;Marie Susu Madu 12gr/120;Dus
72;Regi Banana 28,8gr/60;Dus
73;Choco Sandwich 150gr/24;Dus
74;Litel Maxx Chocochips 45gr/24;Dus
75;Litel Maxx Cheese 45gr/24;Dus
76;Litel Maxx Seaweed 45gr/24;Dus
77;Hai Berry Coklat 12gr/180;Dus
78;Strawberry Puff 250gr/18 ;Dus
79;Orange Puff 250gr/18 ;Dus
80;Coklat Puff 250gr/18 ;Dus
81;Blueberry Puff 250gr/18 ;Dus
82;Apple Puff 250gr/18 ;Dus
83;Strawberry Puff 85gr/30 ;Dus
84;Orange Puff 85gr/30 ;Dus
85;Coklat Puff 85gr/30 ;Dus
86;Blueberry Puff 85gr/30 ;Dus
87;Apple Puff 85gr/30 ;Dus
88;Wfr Stick Chiko Mini Coklat 11,25gr/180;Dus
89;Wfr Stick Chiko Mini Cocopandan 11,25gr/180;Dus
90;Wafer Stick Long n Long 11gr/120;Dus
